"origin","Andalucía","Aragón","Principado De Asturias","Illes Balears","Canarias","Cantabria","Castilla y León","Castilla-La Mancha","Cataluña","Comunidad Valenciana","Extremadura","Galicia","Comunidad de Madrid","Región de Murcia","Comunidad Foral De Navarra","País Vasco","La Rioja","Ceuta y Melilla"
"Andalucía",24412.9543333008,684.507273367067,1024.19952352509,868.457773694173,1394.98867641717,69.0960082065312,1442.78124289858,2426.96837180694,3620.31894482482,2801.93428229386,2532.45129311305,781.051127124055,3942.03437977605,2106.89586821958,363.983753381357,676.630319758753,553.49973828162,548.131246925109
"Aragón",942.945820573016,6315.71340847094,130.257387624834,25.5450367882883,113.501470265521,90.6593325215777,1276.35868686235,619.322490293343,4593.66758546217,1788.28686503442,72.3989922856529,374.502143977276,1114.15862087688,174.15698228227,986.538983158062,1169.56058531119,650.993817253156,8.80772670777022
"Canarias",1413.26212446594,21.3062268221645,13.1993981624892,146.138252036626,4850.58451772222,17.0534453558282,6.98643989565023,49.1836788280046,295.907862378517,222.233877439062,1.53647108776699,163.580035674364,144.972264338324,13.9273084656382,10.9204353019735,232.181077303555,2.11196851051878,0
"Cantabria",132.692425698793,113.235056707458,204.680816860584,13.6333745061146,16.3737830633574,2109.99847950507,761.857639969331,72.6769526932122,643.926979331752,401.668580523275,17.58189539775,101.634395572823,248.756042389145,45.4683605229981,79.3251635527216,1225.55020053912,164.913476315629,0.43804516400455
"Castilla y León",1734.15143289197,1018.32793735475,559.283829270979,2.98698191430746,274.302410747222,1171.07893512688,11685.2904030965,1473.92549372355,1673.58047366009,1659.08023956876,737.642299047492,1299.91520265444,4690.35391869963,253.865227286336,407.944715155666,2437.04801733393,337.716989010409,15.8119192905239
"Castilla-La Mancha",2208.789447022,348.644672904874,155.500011757686,0,140.573479519506,253.472061197732,958.600545464444,6222.47875484451,1397.14717139192,2969.94928074271,942.191259353313,239.058870444473,4758.50347883387,960.520041875344,167.870698333224,277.098450833724,85.4932890126012,12.5402031333034
"Cataluña",4400.00818243391,7480.83390149987,647.894148694201,2656.40800390742,2069.88380676406,1106.59801492192,4324.32769462752,2074.37491777934,48121.1712682982,7565.57750138527,450.130393752704,2008.91840857661,5918.51143996672,1354.65086278135,1956.10042222725,2819.91942386666,930.3453197225,102.840327023951
"Ceuta y Melilla",44.5739001246413,0.12914871918769,0.07208119447927,0.00224999987174,0.03365679,0.00222103,0.10336859452663,0.10107935317962,0.78478497004543,0.17923390721634,0.00830440852287,0.04396532527696,4.53886125187849,2.84079670101002,0.0077025297221,0.17977923,0.00091979971163,0.33213366245108
"Comunidad Foral De Navarra",297.053198791759,1265.42137451207,40.8989926007533,38.0717338031054,73.5673126901269,230.83446930986,671.231147284272,463.312631617126,1600.20924466639,255.694244859357,46.0962587445996,104.156375699334,964.386297456299,108.003185486783,3430.17752030179,1966.93839732515,1202.68310559631,1.62250929922463
"Comunidad Valenciana",3099.93112927754,1751.87698671215,313.084380196149,1587.41329689916,810.562925536004,139.524515194267,1284.44333875862,2832.99940577057,5071.90972591206,22792.9448567924,115.178037310796,565.831405279637,2549.82092561165,2894.58435179376,174.199902811577,615.586812888483,330.27287285388,46.7171916257924
"Comunidad de Madrid",4180.50980897883,1141.39874100908,619.239511814245,232.2058010224,1584.43406619281,382.295117975423,2341.10317362131,5524.39756514055,3377.44421534939,3102.51706743221,1899.84291884944,1610.22147043796,15390.6887719015,777.801052139556,726.228679626575,2089.80773680195,177.492569948103,81.6580987052692
"Extremadura",1364.5567187855,146.126030951186,10.2919110826182,0,16.8356693382735,55.2808315471862,401.079567621955,405.27300108227,157.85066856617,121.185466708112,3407.82435762553,37.7611483350645,778.104384596718,44.5653081529311,40.9025334796197,53.499404902286,25.4593874765747,1.31431131419816
"Galicia",1215.32004054053,368.394015724313,1306.11897039145,308.006709493041,848.124466161727,112.8804204467,3001.72225840209,408.079587932996,1508.96548107853,862.412828719506,143.432508840906,13005.5267864417,1414.69417604106,229.87593638317,94.457254167286,1410.3809133118,39.9210794843892,21.5780132205949
"Illes Balears",28.6502594442049,5.17659319235361,3.42813112268559,2435.15279096806,244.482862467847,0.27794624305483,0.02243611412642,0,368.016488990596,120.331485627306,0,38.7055935297592,143.302496993395,27.1290573376818,0.04022183368844,8.84045033339751,0,0.67645281794632
"La Rioja",288.072229839126,170.610755684506,168.414575655291,0,210.361773209887,45.1798784230584,383.970669399739,84.0090624391206,330.140995730794,363.407322065476,2.02870396594693,56.1369610937232,289.668731604905,58.2241646218148,395.906791513442,477.463940379508,987.859108368409,1.30196551152681
"País Vasco",1305.95546893785,1198.51329475743,1517.15919610094,110.699709411046,334.682761890878,1802.77559135589,4405.66161926824,578.40634384927,2867.13621885291,1683.08018515321,147.216518210145,1412.01482062532,2730.20779792751,353.03887969057,2647.00896829665,15979.2101230593,860.351567372434,13.0167175309895
"Principado De Asturias",361.574443208006,217.947539058198,3953.80614375025,21.7571848212771,54.7651219070507,745.490605975417,1446.24889215316,280.253570055978,386.597139844813,699.788166106326,46.9433698547486,1261.67353297831,361.81145303613,151.150353485348,262.500183572049,750.216024987118,206.947421761331,1.43964130488724
"Región de Murcia",1779.49042151433,52.8881543519465,51.6415028505656,229.071550208027,156.543368034301,3.34837894419798,257.362787712483,1006.69623184088,688.554887133284,3510.4137439497,71.8311707231925,210.044105327163,765.242345582882,4671.40714506055,78.9157381259105,53.9182149520273,74.8062849903664,31.0078330103917
